SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
88947,9,2,2,66,,5,7,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,66,1,4,1,2,19151.25,19814.01,2,131,3,3,0.81
88948,9,2,1,2,,3,3,2,36,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,31,1,4,1,4,21727.46,24185.53,2,123,10,10,3.22
88949,9,2,2,38,,2,2,1,,2,,2,2,6,,5,1,2,1,2,2,1,2,2,,,,,5,5,0,3,0,2,38,2,5,1,5,22682.46,23726.53,2,125,15,15,4.04
88950,9,2,2,43,,5,6,2,,2,,2,1,5,,5,1,2,1,2,2,1,2,2,,,,,3,3,0,1,0,1,44,2,5,1,5,25700.66,26104.68,2,120,15,15,5.00
88951,9,2,2,20,,3,3,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,4,4,0,0,0,1,50,1,5,1,4,100941.82,102151.59,1,130,15,15,5.00
88952,9,2,1,60,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,0,3,1,60,1,5,1,7,143316.37,141953.31,2,131,12,12,
88953,9,2,2,7,,4,4,2,96,,,1,1,,1,,,,1,1,2,1,2,2,,,,,3,3,0,2,0,2,25,1,3,5,,10895.00,11256.46,2,123,6,6,1.24
88954,9,2,2,9,,3,3,1,118,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,1,49,1,5,1,5,47825.71,47062.00,2,125,15,15,5.00
88955,9,2,1,13,,4,4,2,158,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,2,2,0,1,0,2,30,1,4,5,,12607.11,14458.13,2,129,8,8,2.82
88956,9,2,1,43,,3,3,1,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,1,43,1,2,1,4,48447.56,49918.29,1,127,2,2,0.43
88957,9,1,2,41,,1,1,,,2,,2,1,6,,4,1,3,1,2,2,1,2,2,,,,,3,3,0,1,0,1,45,2,4,1,4,21454.45,0.00,1,121,15,15,4.98
88958,9,2,1,1,15,3,3,1,17,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,2,2,0,1,36,1,5,1,5,21803.33,24054.07,2,133,15,15,4.36
88959,9,2,1,12,,4,4,2,153,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,3,0,2,34,1,4,5,,12948.08,12863.81,1,125,6,6,1.09
88960,9,2,1,53,,4,4,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,,,,,1,1,0,0,0,1,53,1,4,3,,26811.85,27232.23,1,132,3,3,1.19
88961,9,2,1,54,,4,4,2,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,54,1,2,1,,22476.25,22116.03,1,126,3,3,0.85
88962,9,2,1,8,,2,2,1,108,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,2,59,1,5,1,4,11760.09,13785.92,1,131,14,14,3.79
88963,9,2,2,1,21,3,3,2,21,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,1,0,1,28,,,1,4,15316.00,17538.11,2,127,5,5,0.86
88964,9,2,2,19,,5,7,2,230,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,4,4,1,0,0,2,19,1,4,,,14497.32,14165.90,2,132,8,8,1.98
88965,9,2,1,22,,5,7,1,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,4,4,0,0,0,1,52,1,3,1,,20100.22,19646.69,1,121,14,14,3.92
88966,9,2,1,8,,3,3,2,106,,,1,1,,2,,,,1,1,2,1,2,2,,,,,7,7,1,4,0,2,40,1,1,1,1,26703.44,26521.61,2,123,15,15,2.22
88967,9,2,1,6,,2,2,1,73,,,1,1,,0,,,,1,1,2,1,2,2,,,,,3,3,0,1,0,1,44,,,1,4,13487.67,13971.92,1,127,15,15,5.00
88968,9,2,1,36,,1,1,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,5,5,2,1,0,1,36,1,5,1,4,27374.98,28457.82,2,128,14,14,2.99
88969,9,1,1,2,,4,4,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,2,0,2,30,1,5,5,,7815.90,0.00,2,130,8,8,2.06
88970,9,2,2,23,,5,6,1,,2,,2,1,6,,5,5,2,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,23,2,5,5,,28240.18,29519.71,1,121,15,15,5.00
88971,9,2,2,11,,1,1,1,140,,,1,1,,5,,,,2,1,2,2,2,2,,,,,3,3,0,1,0,2,52,99,2,6,,9793.63,9802.87,1,121,3,3,0.72
88972,9,2,2,10,,5,7,2,122,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,52,1,5,1,4,15846.90,17799.15,2,129,15,15,4.22
88973,9,2,2,0,8,1,1,2,8,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,2,30,1,5,1,4,6024.45,6178.53,1,130,15,15,5.00
88974,9,2,1,22,,2,2,2,,2,,2,2,2,,4,1,,1,2,2,1,2,2,2,2,2,2,3,3,1,0,0,2,27,2,4,1,4,45482.39,46947.16,1,132,9,9,2.74
88975,9,2,2,5,,4,4,2,69,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,3,0,0,2,30,1,5,5,,9417.24,10372.02,1,126,12,12,
88976,9,2,2,46,,5,6,1,,2,,2,1,4,,5,6,,1,2,2,1,2,2,1,2,2,1,6,6,0,4,0,2,46,2,5,6,,25033.68,25297.87,2,128,6,6,0.92
88977,9,2,1,0,7,1,1,2,8,,,1,1,,,,,,1,1,2,1,2,2,,,,,2,2,1,0,0,2,22,1,3,5,,5770.33,5650.76,1,120,1,1,0.21
88978,9,2,1,7,,3,3,1,86,,,1,1,,0,,,,1,1,2,1,2,2,,,,,7,7,2,2,0,1,28,1,2,4,,24185.65,24297.47,2,132,7,7,0.98
88979,9,2,2,51,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,53,1,5,1,5,102718.00,102078.63,1,131,15,15,5.00
88980,9,1,1,10,,2,2,,,,,1,1,,4,,,,1,1,2,1,2,2,,,,,2,2,0,1,0,1,41,1,2,3,,13073.98,0.00,1,124,8,8,3.01
88981,9,2,1,35,,3,3,2,,2,,1,1,,,3,5,,1,2,2,,,,,,,,2,2,0,0,0,1,32,1,3,5,,133945.42,144124.31,2,120,,,
88982,9,2,2,59,,3,3,2,,2,,2,1,8,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,59,2,5,1,5,102718.00,102078.63,1,131,15,15,5.00
88983,9,2,1,29,,1,1,2,,2,,2,2,5,,2,1,,1,2,2,1,2,2,1,2,2,1,5,5,1,2,0,1,29,2,2,1,4,35581.27,37974.31,1,122,14,14,2.75
88984,9,2,2,58,,1,1,1,,2,,2,2,7,,1,1,,2,2,2,2,2,2,1,2,2,2,4,4,1,1,1,2,58,2,1,1,1,18497.76,18549.94,1,128,5,5,0.95
88985,9,2,1,44,,5,6,2,,2,,2,1,5,,5,1,,1,2,2,1,2,2,,,,,3,3,0,1,0,1,44,2,5,1,5,21521.63,21616.43,2,120,15,15,5.00
88986,9,2,2,22,,2,2,2,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,5,1,0,0,0,2,29,,,5,,40229.13,45641.17,2,123,12,4,1.60
